ACCEPT: Accepter
DECLINE: Refuser
APPLY: Appliquer
YES: Oui
NO: Non
OK: OK
CANCEL: Annuler
NAME: Nom
DESCRIPTION: Description
SAVE: Sauvegarder
LOAD: Charger
OVERWRITE: Écraser
IMPORT: Importer
EXPORT: Exporter
CREATE: Créer
ADD: Ajouter
DELETE: Supprimer
SET: Mettre
RESET: Remettre
NONE: Aucun
BACK: Retour
DESIGN: Conception
PLANET: Planète
SYSTEM: Système
SYSTEMS: Systèmes
SHIP: Vaisseau
DEBRIS: Champ de débris
ANOMALY: Anomalie
RESEARCH: Recherche
TECHNOLOGY: Technologie
REMOVE: Supprimer
UNDO: Annuler
REDO: Refaire
ERROR: Erreur
WARNING: Attention
CHOOSE: Choisir
GENERATE: Générer
TIME_S: $1s
TIME_M: $1m
TIME_MS: $1m $2s
TIME_HM: $1h $2m
TIME_MS_SHORT: $1:$2
TIME_PERS: $1/s
ETA: ETA
ELLIPSIS: ...
SHORT_ELLIPSIS: .
NEVER: Jamais
HP: PV
COST: Coût
ALL: Tous
BUILD: Construire
QUEUE: File
UPGRADE: Améliorer
UPGRADES: Améliorations
CONSOLE: Console
AMOUNT: Montant
DETAILS: Détails
SEND: Envoyer
LEAVE: Laisser
WITHDRAW: Retirer
VIEW: Voir
OLDER: Ancien
NEWER: Récent
PASSED: Passé
FAILED: Manqué
PROPOSE: Proposer
USE: Utiliser
HEALTH: PV // A l'air de correspondre
ENERGY: Énergie
FLEET_STRENGTH: Puissance flotte
SCUTTLE: Saborder
AVAILABLE: Disponible
MANAGE: Gérer
SUPPORTS: Soutien
CONSTRUCTION: Construction
ASTEROID: Astéroïde
RENAME: Renommer
PERCENTAGE: Pourcentage
REFRESH: Rafraichir
CUSTOMIZE: Personnaliser
PASSWORD: Mot-de-passe
CHAT: Chat
DISCONNECT: Déconnecté du serveur
WORMHOLE: Trou-de-ver
NEXT: Suivant
PREVIOUS: Précédent
CLOSE: Fermer // A vérifier si sa coïncide
SIZE: Taille
VS: vs
